Search query: microbial modeling
Year,Count
2022,72
2021,5672
2020,6496
2019,5809
2018,5172
2017,4757
2016,4448
2015,4260
2014,3912
2013,3423
2012,3118
2011,2848
2010,2642
2009,2406
2008,2262
2007,2147
2006,1753
2005,1538
2004,1295
2003,1203
2002,995
2001,991
2000,889
1999,666
1998,662
1997,507
1996,420
1995,414
1994,408
1993,319
1992,293
1991,317
1990,240
1989,242
1988,168
1987,167
1986,160
1985,156
1984,133
1983,104
1982,94
1981,76
1980,89
1979,61
1978,54
1977,64
1976,70
1975,93
1974,66
1973,59
1972,87
1971,123
1970,72
1969,57
1968,45
1967,36
1966,4
1965,4
1964,2
1963,1
1962,2
