"Predator.lifestage","Type.of.feeding.interaction","Location","R_sqaured","Intercept","Slope","pValue","F_statistics_value"
"adult","predacious/piscivorous","Apalachicola Bay, Florida","0.454896466590064","336.317401258103","31.7855210639613","6.45353839085833e-09","46.7327774774965"
"adult","piscivorous","Apalachicola Bay, Florida","0.132795821890007","2542.50380929219","33.0987246647544","0.000561879679057593","12.8630019554008"
"juvenile","piscivorous","Apalachicola Bay, Florida","0.0567208571407711","4602.36646169322","31.0032366469438","0.213455733514303","1.62355242813778"
"adult","predacious/piscivorous","Crooked Island Sound, Florida","0.152725752974716","541.926877522503","8.93111353176893","4.47776370543982e-05","18.2057947643321"
"juvenile","planktivorous","Gulf of Alaska","1","2.25196721311474","6557.37704918046","NaN","NaN"
"juvenile","predacious","Gulf of Alaska","0.0204380820233481","2.02429389845615","0.521625898429098","0.360428527576408","0.855445018410001"
"adult","piscivorous","Jeffreys Ledge, Gulf of Maine, New England","0.00599117322338166","147760.021989524","30.1139830084535","0.127510327789256","2.3325588012809"
"adult","predacious","Stellwagen Bank, Gulf of Maine, New England","0.169391674753812","162190.405558652","366539.322859749","0.35893532018586","1.01968442649311"
"adult","predacious","Jeffreys Ledge, Gulf of Maine, New England","0.000907868713857298","135526.299947429","5912.66381392444","0.859486156430835","0.0318042790949625"
"adult","piscivorous","Stellwagen Bank, Gulf of Maine, New England","0.0372630193558566","192892.576380019","62.6681856130385","1.2271984869739e-05","19.5074689483581"
"adult","piscivorous","Cape Cod Bay, Gulf of Maine, New England","0.0814159630523919","235740.549468056","20.9020831805066","0.0151192023605773","6.20424172904769"
"adult","predacious","Cape Cod Bay, Gulf of Maine, New England","0.0125192342336428","284583.947865136","53167.4559188799","0.679934652598592","0.177491334866636"
"adult","piscivorous","Great Channel South, Gulf of Maine, New England","0.123951449844567","107597.245781302","125.166807253085","1.22274146393267e-22","102.579704197178"
"adult","predacious","Great Channel South, Gulf of Maine, New England","0.302736098693012","90072.9795112694","278951.451170416","0.00534097865226139","9.55189872695552"
"adult","predacious","South of Marthas Vineyard, New England","0.00200239560882036","27747.5443777824","27001.0165568725","0.817709927366765","0.0541731575309057"
"adult","piscivorous","South of Marthas Vineyard, New England","0.0234252175985282","80233.3407799923","1527.79318298831","0.571460155763786","0.335819695828038"
"adult","piscivorous","Gulf of Maine, New England","0.0222886889602978","276034.961408492","-307.330062225959","0.18344240447847","1.80094717937862"
"adult","predacious","Gulf of Maine, New England","NaN","168000","0","NaN","NaN"
"larva","predacious","Andaman Sea (West of South Thailand)","0.187278301457234","0.00267191819116117","1509.12569565978","0.0105792556844275","7.37387183998773"
"adult","predacious","Mid Atlantic","0.311915127341068","71.3783704109279","1.80462752228188","0.000268459148836844","16.3191272333702"
"adult","piscivorous","Mid Atlantic","0.157138567803634","64.6364734633913","5.54412287304514","0.000430350550393747","13.6097287305854"
"larva / juvenile","predacious","NE North Sea and Skaggerak","0.679886964911185","-0.00894725357799645","12891.0179017009","4.28279187292489e-06","40.3540340983879"
"juvenile","piscivorous","W Greenland","0.573013216989562","0.093239037301215","6.53844144716838","7.11822392025366e-05","25.4978644679396"
"juvenile","predacious","W Greenland","0.188875726963309","0.139484359020791","0.0266888733441382","6.5141019308835e-08","32.599938941375"
"adult","predacious","French Polynesian EEZ","0.00329319005426941","20575.8736834174","-27.7274005595723","0.0104143264276381","6.57510126609144"
"adult","piscivorous","French Polynesian EEZ","0.000156849803497244","21176.9940663806","-1.64593427582037","0.587246178185151","0.294767014919689"
"adult","planktivorous","French Polynesian EEZ","5.74318941536718e-06","31783.8772343461","2.10495405767875","0.977744771607622","0.000781078246370253"
"larva","planktivorous","Catalan Sea","0.104429094004287","0.0040671263190023","215.612238352205","3.9607589666264e-12","50.9568966280062"
"larva","planktivorous","Western North Pacific","0.000139799313931178","0.00447145509455239","3.52458142165181","0.862197987783812","0.0302008738705818"
"larva","predacious","Western North Pacific","0.115812129314908","0.0120752631739834","121.963410805906","1.29102881334096e-07","29.7327685960162"
"adult","piscivorous","Atlantic Ocean","0.0784205151286024","1781.92810925732","4.86223410967459","3.2060784889946e-197","935.348840164216"
"adult","predacious","Atlantic Ocean","0.00739698279115366","1754.70401137526","1.93927702322049","7.95138953988008e-10","37.9163147692419"
