DATE,LOCATION,SX REF,SPECIES,SEX,NUMBER,FILE,COMMON NAME
02/09/2013,"Main Road, Salcombe",SX709516,Arctophila superbiens,male,1,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis arbustorum,female,Over 20,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis arbustorum,male,Over 20,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis horticola,female,4,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis horticola,male,2,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis nemorum,female,8,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis nemorum,male,3,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis pertinax ,female,Over 10,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis pertinax ,male,Over 20,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalis tenax,female,3,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Eristalinus sepulchralis,female,2,2013/September 2013.xls,
02/09/2013,"Main Road, Salcombe",SX709516,Helophilus pendulus,female,8,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Helophilus pendulus,male,Over 10,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Melanstoma scalare,female,2,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Meliscaeva auricollis,male,1,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Meliscaeva cinctella,male,1,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Myathropa florea,female,5,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Myathropa florea,male,3,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Platycheirus albimanus,female,4,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Platycheirus granditarsus,female,8,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Platycheirus granditarsus,male,1,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Scaeva pyrastri ,female,2,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Sericomyia silentis,male,8,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Sphaerophoria scripta,male,2,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Syritta pipiens,female,Over 20,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Syritta pipiens,male,Over 20,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Syrphus ribesii,female,Over 10,2013/September 2013.xls,
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Gonepteryx rhamni,,4,2013/September 2013.xls,Brimstone
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Colias croceus,,1,2013/September 2013.xls,Clouded Yellow
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Pieris napi,,8,2013/September 2013.xls,Green-veined White
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Maniola jurtina,,Over 10,2013/September 2013.xls,Meadow Brown
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Aglais urticae,,6,2013/September 2013.xls,Small Tortoiseshell
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Pieris rapae,,Over 20,2013/September 2013.xls,Small White
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Pararge aegeria,,6,2013/September 2013.xls,Speckled Wood
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Vanessa atalanta,,1,2013/September 2013.xls,Red Admiral
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Chrysoperla carnea,,1,2013/September 2013.xls,Lacewing
02/09/2013,"Andrews Wood, Loddiswell",SX709516,Stomorhina lunata,female,1,2013/September 2013.xls,
