Sample;Site;Location;Time;Diameter;Leaf_length;Flower_num;SLA;DW;LMA;W;%N;%C;%H
A_Qua1;Mainland;A;March;23;10.3;6;14.85;0.292;0.0196633;2.676;0.82;36.83;5.63
A_Qua2;Mainland;A;March;34;17;36;34.18;0.2968;0.008683441;2.62;1.02;36.62;5.53
A_Qua3;Mainland;A;March;43;10;23;1.39;0.0747;0.053741007;2.819;1.12;34.15;5.17
A_Qua4;Mainland;A;March;31.5;4.3;25;4.26;0.0291;0.006830986;2.502;0.6;38.05;5.98
A_Qua5;Mainland;A;March;26;14;5;17.84;0.2214;0.012410314;2.632;1.04;34.69;5.12
A_Qua6;Mainland;A;April;38.5;18.5;37;25.18;0.2857;0.011346307;2.132;1.38;26.87;3.96
A_Qua7;Mainland;A;April;100;11;22;20.46;0.0756;0.003695015;1.977;0.87;26.27;3.85
A_Qua8;Mainland;A;April;52;3.7;0;3.73;0.0204;0.005469169;2.024;1.34;25.53;3.77
A_Qua9;Mainland;A;April;32;13;2;24.29;0.3703;0.015244957;2.117;1.41;27.72;4.07
A_Qua10;Mainland;A;April;42;23.5;40;44.23;0.3701;0.008367624;2.471;1.98;28.41;4.11
A_Qua11;Mainland;A;May;32;9.5;17;13.09;0.057;0.004354469;2.046;2.04;34.02;4.99
A_Qua12;Mainland;A;May;58.7;3.5;3;3.15;0.013;0.004126984;2.794;2.65;34.76;5.03
A_Qua13;Mainland;A;May;10.5;6.3;1;5.75;0.0827;0.014382609;1.977;1.49;32.05;4.64
A_Qua14;Mainland;A;May;37;22.5;17;52.68;0.3148;0.005975702;2.37;0.75;31.39;4.72
A_Qua15;Mainland;A;May;28.5;12;6;12.67;0.2873;0.022675612;2.917;2.53;31.46;4.97
A_Qua17;Mainland;A;June;15.2;9.7;5;7.34;0.0783;0.010667575;2.402;2.96;34.33;5.01
A_Qua18;Mainland;A;June;30;13.5;50;24.48;0.1122;0.004583333;;;;
A_Qua19;Mainland;A;June;72;23.8;62;54.7;0.764;0.013967093;1.845;3.79;39.08;6.12
A_Qua20;Mainland;A;June;44;6;2;5.59;0.0197;0.00352415;0.859;1.38;35;5.08
B_Qua21;Mainland;B;March;72.5;21;23;32.98;0.3589;0.010882353;2.737;1.15;38.08;5.54
B_Qua22;Mainland;B;March;112;27;21;61.18;0.3;0.004903563;2.932;1.71;37.63;5.62
B_Qua23;Mainland;B;March;165;19.5;31;37.91;0.159;0.004194144;2.69;1.51;35.16;5.11
B_Qua24;Mainland;B;March;35.6;8.4;26;9.4;0.0444;0.004723404;2.637;1.69;38.57;5.61
B_Qua25;Mainland;B;March;32;11;17;15.64;0.1257;0.008037084;2.357;1.75;35.8;5.37
B_Qua26;Mainland;B;April;156;31;30;92.7;0.7304;0.00787918;2.12;2.76;35.89;4.93
B_Qua27;Mainland;B;April;88;44;50;98.75;0.7511;0.007606076;2.642;1.6;38.37;5.46
B_Qua28;Mainland;B;April;14.8;6.5;17;9.01;0.0436;0.004839068;2.368;1.6;37.12;5.31
B_Qua29;Mainland;B;April;37;11.5;21;21.05;0.1855;0.008812352;2.036;2.39;37.61;5.19
B_Qua30;Mainland;B;April;41;17.5;25;37.78;0.164;0.004340921;2.688;2.02;38.18;5.43
B_Qua31;Mainland;B;May;172;25.5;45;42.8;0.252;0.00588785;2.574;2.46;38;5.95
B_Qua33;Mainland;B;May;39;15;10;18.32;0.1624;0.008864629;2.433;1.36;37.81;5.31
B_Qua34;Mainland;B;May;82;27;22;49.29;0.3256;0.006605802;2.061;1.95;36.15;5.04
B_Qua35;Mainland;B;May;102;22.2;32;45.34;0.3148;0.006943097;2.664;2;36.63;5.37
B_Qua36;Mainland;B;May;22.3;10.4;23;10.45;0.0451;0.004315789;2.425;2.49;37.31;6.08
B_Qua37;Mainland;B;June;77.5;39.5;2;89.73;0.9494;0.010580631;2.179;3.09;36.85;5.46
B_Qua38;Mainland;B;June;45;24.5;15;41.75;0.2287;0.005477844;2.532;3.88;37.43;5.45
C_Qua41;Mainland;C;March;42;21.5;3;80.3;0.3388;0.004219178;2.601;1.46;33.03;4.98
C_Qua42;Mainland;C;March;56;17;27;30.35;0.1618;0.005331137;2.705;1.44;33.22;5.08
C_Qua43;Mainland;C;March;64;17;26;36.62;0.1794;0.004898962;2.782;0.92;32.55;4.9
C_Qua44;Mainland;C;March;60;13.4;5;26.29;0.1664;0.006329403;2.991;1.62;34.71;5.19
C_Qua45;Mainland;C;March;37.6;21.5;7;32.34;0.269;0.008317873;2.559;2.03;25.33;3.66
C_Qua46;Mainland;C;April;72;22;28;48.13;0.2812;0.00584251;2.428;1.91;36.51;5.12
C_Qua47;Mainland;C;April;43;11.5;14;23.97;0.1276;0.005323321;2.042;1.73;36.72;5.11
C_Qua48;Mainland;C;April;29.7;14.5;4;26.52;0.2698;0.010173454;2.117;1.44;31.46;4.49
C_Qua49;Mainland;C;April;28.5;14;8;17.54;0.0925;0.00527366;2.018;1.43;33.94;4.87
C_Qua50;Mainland;C;April;37.5;18;7;53.52;0.3007;0.00561846;2.367;1.43;36.71;5.21
C_Qua51;Mainland;C;May;62;12.3;8;16.03;0.0806;0.005028072;2.696;1.71;32.39;4.75
C_Qua52;Mainland;C;May;64;13.3;5;23.61;0.2385;0.010101652;2.26;1.43;30.38;4.48
C_Qua53;Mainland;C;May;29;15;1;18.57;0.114;0.006138934;2.227;1.07;29.09;4.1
C_Qua54;Mainland;C;May;37;21;26;66.37;0.3543;0.005338255;2.601;1.46;31.16;4.57
C_Qua55;Mainland;C;May;59;15;11;33.87;0.2026;0.005981695;2.657;0.94;31.8;4.74
C_Qua56;Mainland;C;June;27.9;11.6;2;12.81;0.0773;0.006034348;1.863;2.25;38.81;5.98
C_Qua57;Mainland;C;June;37;12;6;20.66;0.1853;0.008969022;2.818;1.51;30.64;4.56
C_Qua58;Mainland;C;June;65;22.5;25;95.25;0.6133;0.006438845;2.398;1.16;30.24;4.5
C_Qua59;Mainland;C;June;76;17.5;5;26.05;0.1762;0.006763916;2.193;2.16;42.3;6.26
C_Qua60;Mainland;C;June;61.4;8.6;4;15.98;0.2068;0.012941176;2.552;3.19;32.13;4.68
D_Qua61;Mainland;D;March;27.5;12;10;13.44;0.0808;0.006011905;2.712;1.32;36.41;5.35
D_Qua62;Mainland;D;March;29;13;20;23.32;0.1258;0.005394511;2.559;1.83;33.65;4.93
D_Qua63;Mainland;D;March;41.5;18.5;21;23.4;0.109;0.00465812;2.739;1.81;34.77;5.14
D_Qua64;Mainland;D;March;12;14.4;2;14.13;0.1376;0.009738146;2.653;1.61;36.24;5.38
D_Qua65;Mainland;D;March;119;34;8;141.01;1.0294;0.007300191;2.751;2.05;36.11;5.29
D_Qua66;Mainland;D;April;101;30.5;18;74.4;0.4762;0.006400538;2.062;1.1;35.01;4.96
D_Qua67;Mainland;D;April;102;23.5;56;59.81;0.2554;0.004270189;2.151;1.51;32.21;4.72
D_Qua68;Mainland;D;April;43.5;12.5;6;12.5;0.0946;0.007568;2.63;1.8;33.77;5.04
D_Qua69;Mainland;D;April;71.5;37;4;69.52;0.7153;0.010289125;2.566;1.97;34.7;4.96
D_Qua70;Mainland;D;April;72.2;35.1;26;81.29;0.413;0.005080576;2.518;1.09;31.09;4.81
D_Qua71;Mainland;D;May;140;16;24;52.31;0.1954;0.003735423;2.448;2.52;36.61;5.29
D_Qua73;Mainland;D;May;31;17;2;60.16;0.5818;0.009670878;2.618;2.7;37.13;5.38
D_Qua74;Mainland;D;May;71;40.5;19;120.83;0.8242;0.006821154;2.883;2.32;36.24;5.25
D_Qua75;Mainland;D;May;82;18;19;46.06;0.2163;0.004696049;2.307;1.93;36.41;5.34
D_Qua76;Mainland;D;May;58;30;2;56.27;0.4892;0.008693798;2.202;2.06;32.05;4.58
D_Qua77;Mainland;D;June;63;34.4;24;70.24;0.3832;0.005455581;2.19;2.7;36.73;5.49
D_Qua78;Mainland;D;June;99;14.4;16;22.67;0.1034;0.004561094;2.351;2.54;37.22;5.44
E_Qua79;Mainland;E;March;56;32.5;0;72.77;0.5355;0.007358802;;;;
E_Qua80;Mainland;E;March;56;24;12;55.62;0.2209;0.003971593;;;;
E_Qua81;Mainland;E;March;74;37.5;13;76.49;0.5887;0.007696431;2.633;1.96;35.5;5.28
E_Qua82;Mainland;E;March;34;19.3;8;13.82;0.1522;0.011013025;2.514;2.06;36.42;5.31
E_Qua83;Mainland;E;March;55;32.6;0;83.98;0.5476;0.0065206;2.55;1.9;37.56;5.61
