Individual	DateOfCapture	LitterSize	Size	Hornlength	Bodymass	Glizz	SexualActivity	Sex	Family
2	18	1	-1.300032424	1.420853205	-1.891077357	-1.300032424	3	female	Hardhoof
2	23	1	-3.052109695	1.530093417	-2.955469987	-3.052109695	4	female	Hardhoof
7	22	1	-1.537483211	2.074652479	0.347619075	-1.537483211	4	female	Hardhoof
2	7	2	0.582303739	1.209975598	-0.854551368	0.582303739	3	female	Hardhoof
2	47	2	-1.403584259	0.322152436	-1.781335124	-1.403584259	2	female	Hardhoof
2	80	2	-0.842269242	1.479331747	-1.477871604	-0.842269242	3	female	Hardhoof
2	83	2	-0.982376603	0.798978466	-1.788536539	-0.982376603	3	female	Hardhoof
2	89	2	-0.774340512	0.532931723	-1.618374905	-0.774340512	3	female	Hardhoof
4	80	2	1.750846962	1.479331747	-1.365380182	1.750846962	3	female	Hardhoof
4	21	2	-1.383765222	1.977623862	-1.347036272	-1.383765222	4	female	Hardhoof
19	21	2	-1.685886018	1.977623862	2.455987375	-1.685886018	4	female	Ravenblack
1	1	3	-1.798326242	2.179235276	-1.161698479	-1.798326242	4	female	Hardhoof
1	29	3	-2.292750281	0.890028378	-1.045417901	-2.292750281	3	female	Hardhoof
1	97	3	1.641587893	2.087598432	0.557284299	1.641587893	4	female	Hardhoof
2	2	3	0.382953808	0.658228758	-0.761431229	0.382953808	3	female	Hardhoof
2	9	3	-0.072010616	0.916977091	-1.32487226	-0.072010616	3	female	Hardhoof
2	14	3	0.269150765	0.409072202	-0.810443202	0.269150765	2	female	Hardhoof
2	19	3	-0.451414867	0.190322725	-1.353291043	-0.451414867	2	female	Hardhoof
2	45	3	-1.092336747	-0.472798559	-0.938674506	-1.092336747	2	female	Hardhoof
2	55	3	-1.277454303	-0.104531934	-1.245175346	-1.277454303	2	female	Hardhoof
3	2	3	-0.533080791	0.658228758	-0.999271687	-0.533080791	3	female	Hardhoof
3	9	3	0.358296353	0.916977091	-0.550780584	0.358296353	3	female	Hardhoof
3	26	3	-1.286844885	0.472105747	-0.869646403	-1.286844885	2	female	Hardhoof
3	29	3	-0.273137769	0.890028378	-1.030885089	-0.273137769	3	female	Hardhoof
3	35	3	-0.37182971	0.327640741	-1.194732825	-0.37182971	2	female	Hardhoof
3	43	3	-0.598593723	1.169346301	-0.913598805	-0.598593723	3	female	Hardhoof
3	49	3	-1.098869362	1.44919978	-0.481224451	-1.098869362	3	female	Hardhoof
3	62	3	-0.524390699	0.541148142	-1.36868664	-0.524390699	3	female	Hardhoof
3	78	3	-0.759789115	-0.574846951	-1.721871302	-0.759789115	1	female	Hardhoof
3	80	3	0.831107333	1.479331747	-0.444912982	0.831107333	3	female	Hardhoof
3	92	3	0.445006944	0.229433234	-1.385650688	0.445006944	2	female	Hardhoof
3	95	3	0.535672454	0.901495318	-0.408551938	0.535672454	3	female	Hardhoof
4	2	3	1.042064033	0.658228758	-1.458810941	1.042064033	3	female	Hardhoof
4	4	3	-1.2404714	1.011732536	-1.191418009	-1.2404714	3	female	Hardhoof
4	18	3	0.742957099	1.420853205	-1.164241745	0.742957099	3	female	Hardhoof
4	41	3	0.175778445	0.842550021	-1.157940451	0.175778445	3	female	Hardhoof
6	57	3	-0.083304201	-0.520800496	-0.250794394	-0.083304201	1	female	Hardhoof
6	61	3	-1.561646672	-1.72273929	-0.890288775	-1.561646672	0	female	Hardhoof
6	62	3	-0.247984907	0.541148142	-0.401170419	-0.247984907	3	female	Hardhoof
6	69	3	0.090690367	0.866648514	-0.306278421	0.090690367	3	female	Hardhoof
6	71	3	-0.757186253	-0.545369656	-0.381282985	-0.757186253	1	female	Hardhoof
6	72	3	-2.139125843	-0.914980171	-0.65152246	-2.139125843	1	female	Hardhoof
6	83	3	-1.598958628	0.798978466	0.571835615	-1.598958628	3	female	Hardhoof
6	87	3	-0.983103236	-0.87651321	-0.121592258	-0.983103236	1	female	Hardhoof
6	98	3	-1.182260853	-0.502208137	-0.202370808	-1.182260853	1	female	Hardhoof
7	43	3	-0.661115654	1.169346301	-0.888053721	-0.661115654	3	female	Hardhoof
7	83	3	-0.629834399	0.798978466	-0.572138507	-0.629834399	3	female	Hardhoof
8	22	3	-0.144201322	2.074652479	-0.516241959	-0.144201322	4	female	Hardhoof
8	31	3	-0.86989124	0.426233575	-0.007667205	-0.86989124	2	female	Hardhoof
8	34	3	-1.360923447	-0.335548438	0.56565834	-1.360923447	2	female	Hardhoof
8	48	3	-1.106635219	-0.0686455	0.406851342	-1.106635219	2	female	Hardhoof
8	79	3	-1.807633085	-0.879103193	0.715608369	-1.807633085	1	female	Hardhoof
8	95	3	-1.045805349	0.901495318	0.221850794	-1.045805349	3	female	Hardhoof
16	1	3	0.194163052	2.179235276	2.071855178	0.194163052	4	female	Ravenblack
16	9	3	-1.944309764	0.916977091	2.411341667	-1.944309764	3	female	Ravenblack
16	23	3	-0.010453745	1.530093417	1.691917868	-0.010453745	4	female	Ravenblack
16	29	3	-2.067222757	0.890028378	2.38800681	-2.067222757	3	female	Ravenblack
19	1	3	-1.05458996	2.179235276	2.670738716	-1.05458996	4	female	Ravenblack
20	23	3	-1.714895244	1.530093417	0.673970044	-1.714895244	4	female	Ravenblack
34	22	3	-1.232253364	2.074652479	-0.418280518	-1.232253364	4	female	McBludgeon
1	4	4	0.633561053	1.011732536	0.502019288	0.633561053	3	female	Hardhoof
1	17	4	-1.113255544	0.870486354	-0.172783528	-1.113255544	3	female	Hardhoof
1	31	4	-0.4755989	0.426233575	0.154308077	-0.4755989	2	female	Hardhoof
1	35	4	-1.309015109	0.327640741	0.224500381	-1.309015109	2	female	Hardhoof
1	46	4	1.43225571	0.727785292	0.858268834	1.43225571	3	female	Hardhoof
1	84	4	0.153203387	0.288380761	0.231401253	0.153203387	2	female	Hardhoof
2	15	4	0.667525796	-0.615829344	-0.564483704	0.667525796	1	female	Hardhoof
2	75	4	-0.836585678	-0.834672886	-0.618474659	-0.836585678	1	female	Hardhoof
2	87	4	-0.131799369	-0.87651321	-0.026887099	-0.131799369	1	female	Hardhoof
2	98	4	0.20152922	-0.502208137	-0.653128569	0.20152922	1	female	Hardhoof
3	16	4	0.612126287	-0.93606162	-2.133165569	0.612126287	1	female	Hardhoof
3	36	4	0.0838288	-0.774441348	-1.935877603	0.0838288	1	female	Hardhoof
3	45	4	-0.485042817	-0.472798559	-1.96321127	-0.485042817	2	female	Hardhoof
3	61	4	0.414760245	-1.72273929	-2.345494273	0.414760245	0	female	Hardhoof
3	75	4	-0.421589114	-0.834672886	-2.075609258	-0.421589114	1	female	Hardhoof
3	79	4	0.333361482	-0.879103193	-1.858967272	0.333361482	1	female	Hardhoof
3	91	4	0.818887899	-0.608937831	-2.095499055	0.818887899	1	female	Hardhoof
4	57	4	0.658931023	-0.520800496	-2.015584453	0.658931023	1	female	Hardhoof
4	86	4	0.689653103	0.208683279	-1.3101971	0.689653103	2	female	Hardhoof
4	14	4	1.355926475	0.409072202	-2.077236408	1.355926475	2	female	Hardhoof
4	25	4	0.102547186	-0.012874037	-1.843432841	0.102547186	2	female	Hardhoof
4	32	4	2.4479508	0.231879327	-1.390893143	2.4479508	2	female	Hardhoof
4	35	4	-0.733717029	0.327640741	-1.314157343	-0.733717029	2	female	Hardhoof
4	42	4	-1.903710246	-0.176036826	-1.356742231	-1.903710246	2	female	Hardhoof
4	48	4	-0.653011418	-0.0686455	-1.577613762	-0.653011418	2	female	Hardhoof
5	22	4	-0.419873238	2.074652479	-0.862224974	-0.419873238	4	female	Hardhoof
5	49	4	0.000109523	1.44919978	-0.244749612	0.000109523	3	female	Hardhoof
6	11	4	-0.426628774	0.315073242	-0.243428341	-0.426628774	2	female	Hardhoof
6	22	4	1.047293916	2.074652479	0.225691924	1.047293916	4	female	Hardhoof
6	24	4	-0.243050192	-0.918075332	-0.601999512	-0.243050192	1	female	Hardhoof
6	32	4	0.118172526	0.231879327	-0.243833815	0.118172526	2	female	Hardhoof
6	33	4	-0.572441353	-1.557927001	-0.11946305	-0.572441353	0	female	Hardhoof
6	47	4	0.595045125	0.322152436	-0.060804774	0.595045125	2	female	Hardhoof
6	49	4	0.934895995	1.44919978	0.207658569	0.934895995	3	female	Hardhoof
6	63	4	-0.190899282	-0.102512508	-0.163874978	-0.190899282	2	female	Hardhoof
6	94	4	-0.471030794	0.163716356	-0.207421224	-0.471030794	2	female	Hardhoof
7	4	4	0.089082511	1.011732536	-0.353204287	0.089082511	3	female	Hardhoof
7	9	4	-0.055952899	0.916977091	-0.711249269	-0.055952899	3	female	Hardhoof
7	36	4	-0.636596332	-0.774441348	-1.87887456	-0.636596332	1	female	Hardhoof
7	40	4	-1.013318053	-0.560295417	-1.867881894	-1.013318053	1	female	Hardhoof
7	50	4	0.987463811	1.226620373	-0.513788718	0.987463811	3	female	Hardhoof
7	51	4	-0.836950811	0.221045334	-1.450900018	-0.836950811	2	female	Hardhoof
7	55	4	-1.020330113	-0.104531934	-1.239541922	-1.020330113	2	female	Hardhoof
7	81	4	-0.944889467	-0.067054644	-1.246160338	-0.944889467	2	female	Hardhoof
7	89	4	0.041302485	0.532931723	-0.776198719	0.041302485	3	female	Hardhoof
8	6	4	0.456288857	0.53526369	-0.627986426	0.456288857	3	female	Hardhoof
8	14	4	-0.137878013	0.409072202	-0.408645074	-0.137878013	2	female	Hardhoof
