yr,mo,tag,species,sex,hfl,wgt,precip
1980,1,2058,OT,M,21.63,23.33,15.24
1980,1,2055,DM,F,36.76,36.49,15.24
1980,1,2021,OT,F,20.01,21.87,15.24
1980,1,2135,OL,M,20.39,29.29,15.24
1980,1,1573,DM,F,36.37,49.31,15.24
1980,1,2136,OL,M,21.13,23.12,15.24
1980,1,2153,OL,M,20.36,32.15,15.24
1980,1,2162,OL,F,20.92,24.06,15.24
1980,1,2056,DM,M,38.16,47.77,15.24
1980,1,2065,DM,M,38.27,37.69,15.24
1980,1,2152,DO,F,33.59,29.9,15.24
1980,1,1762,DS,M,47.66,132.06,15.24
1980,1,2104,DM,F,34.12,33.99,15.24
1980,1,1618,DM,F,37.14,61.12,15.24
1980,1,2090,OL,M,22.6,31.28,15.24
1980,1,2120,DM,M,35.97,49.88,15.24
1980,1,8001,PF,M,15.71,8.59,15.24
1980,1,1675,DS,M,50.42,142.26,15.24
1980,1,5110,RM,M,16.44,10.42,15.24
1980,1,8003,PF,F,16.73,9.61,15.24
1980,1,1786,DO,M,33.68,50.2,15.24
1980,1,7002,RM,F,17.18,12.13,15.24
1980,1,1712,DS,F,52.61,150.99,15.24
1980,1,2016,DM,M,37.42,49.62,15.24
1980,1,2022,OL,F,21.22,34.95,15.24
1980,1,2044,DM,F,35.93,40.54,15.24
1980,1,4631,DS,F,52,132.51,15.24
1980,1,2157,DM,F,34.64,25.23,15.24
1980,1,1464,OL,M,21.06,36.2,15.24
1980,1,2151,DO,F,34.19,50.63,15.24
1980,1,2115,DM,M,37.82,45.98,15.24
1980,1,1423,DM,M,35.29,47.23,15.24
1980,1,2035,DM,M,38.44,46.9,15.24
1980,1,2105,OT,M,19.54,22.47,15.24
1980,1,4490,DS,F,50.73,136.81,15.24
1980,1,2068,DM,M,37.24,45.11,15.24
1980,1,5000,RM,F,18.27,9.99,15.24
1980,1,2050,OL,F,21.95,27.2,15.24
1980,1,2048,OT,M,20.32,20.46,15.24
1980,1,2064,OT,F,21.9,25.1,15.24
1980,1,2128,DM,M,35.29,40.67,15.24
1980,1,2053,OL,F,21.86,30.38,15.24
1980,1,1463,DM,M,36.14,48.56,15.24
1980,1,1708,DS,M,52.49,131.81,15.24
1980,1,110,PF,M,16.46,8.4,15.24
1980,1,2087,OL,F,,32.45,15.24
1980,1,0,DM,F,32.41,29.18,15.24
1980,1,5010,RM,M,16.16,9.68,15.24
1980,1,1671,DO,F,36.77,51.11,15.24
1980,1,2101,PE,F,20.21,17.03,15.24
1980,1,2156,DM,M,37.63,26.5,15.24
1980,1,2161,DO,M,31.79,32.14,15.24
1980,1,2103,OT,M,20.92,26,15.24
1980,1,1751,DS,F,46.22,114.9,15.24
1980,1,2237,DM,F,36.85,44.29,15.24
1980,1,2127,DM,M,37.31,51.58,15.24
1980,1,2173,DM,F,35.08,46.6,15.24
1980,1,2248,OT,M,20.24,22.99,15.24
1980,1,2201,DO,F,36.1,43.62,15.24
1980,1,2190,OL,F,21.8,26.87,15.24
1980,1,2198,DO,M,34.78,50.81,15.24
1980,1,2205,DM,F,37.09,52.65,15.24
1980,1,2199,DM,M,38.43,44.77,15.24
1980,1,-1,DM,F,36.07,43.32,15.24
1980,1,2144,DM,M,35.03,42.24,15.24
1980,1,2118,OT,M,20.94,23.92,15.24
1980,1,2042,DM,F,36.85,46.09,15.24
1980,1,2178,DM,F,35.82,37.16,15.24
1980,1,2143,DM,F,34.5,42.98,15.24
1980,1,2203,DM,F,36.06,44.43,15.24
1980,1,0,DS,F,48.92,113.73,15.24
1980,1,2016,DM,M,36.7,48.97,15.24
1980,1,2096,DM,F,35.55,39.54,15.24
1980,1,2095,OT,M,21.26,21.02,15.24
1980,1,2192,DM,M,34.54,42.67,15.24
1980,1,2085,OT,F,21.16,20.26,15.24
1980,1,2191,DM,F,37.34,46.47,15.24
1980,1,2186,OT,F,20.54,21.16,15.24
1980,1,2185,DM,M,35.13,43.87,15.24
