Year	LD(in_AprilDays)	ClutchsizeAge7	IDFemale
2012	26	9	D902225
2007	14	8	D902227
2008	26	9	D902227
2007	12	9	D902230
2012	10	11	D902232
2006	25	9	D902233
2016	13	8	D902234
2004	19	9	D902236
2008	9	14	D902236
2010	13	12	D902236
2007	13	10	D902237
2012	32	8	D902237
2017	-3	11	D902238
2016	26	8	D902239
2003	20	8	D902240
2011	14	5	D902241
2012	3	12	D902241
2017	10	10	D902241
2006	25	9	D902243
2007	19	8	D902243
2012	16	9	D902244
2013	30	8	D902244
2017	24	6	D902245
2007	19	10	D902246
2002	20	10	D902247
2002	8	9	D902248
2005	21	8	D902249
2012	9	15	D902250
2004	18	9	D902251
2007	13	9	D902252
2016	14	8	D902252
2010	28	9	D902254
2010	18	8	D902254
2008	15	7	D902255
2012	17	7	D902256
2015	18	NA	D902257
2004	29	8	D902258
2005	27	7	D902258
2004	30	8	D902259
2015	22	NA	D902259
2008	19	10	D902260
2015	20	NA	D902260
2015	14	NA	D902261
2009	11	13	D902263
2015	21	NA	D902263
2004	20	9	D902264
2016	23	3	D902265
2016	24	6	D902266
2008	23	10	D902267
2017	10	NA	D902268
2010	27	9	D902269
2011	1	12	D902270
2011	14	9	D902270
2006	25	NA	D902271
2004	27	8	d902272
2015	20	NA	D902273
2012	38	7	D902274
2013	33	8	D902275
2007	9	12	D902276
2011	10	12	D902278
2011	10	12	D902278
2005	22	11	D902279
2006	23	9	D902280
2016	34	6	D902280
2017	37	6	D902282
2010	17	8	D902286
2005	15	NA	D902287
2012	25	9	D902289
2015	21	NA	D902290
2003	19	10	D902291
2011	9	9	D902292
2011	10	10	D902293
2011	10	12	D902293
2012	40	NA	D902293
2005	9	9	D902294
2017	5	NA	D902297
2008	4	14	D902298
2003	28	8	D902301
2013	31	10	D902303
2011	11	12	D902307
2013	28	8	D902363
2017	33	NA	D902363
2012	13	8	D902365
2015	29	NA	D902365
2009	32	8	f.A18BFS09
2012	11	9	f.A18BFS09
2002	11	10	K983388
2006	36	7	L270348
2012	18	8	L270348
2012	11	11	L270356
2017	42	3	L270356
2010	19	13	L270373
2011	20	8	L270373
2011	9	11	L270388
2012	16	13	L270397
2009	11	10	L270404
2012	13	10	L270404
2011	14	12	L270667
2011	21	8	L270725
2011	15	9	L270734
2009	11	11	L270737
2011	24	9	L270746
2005	11	10	L270911
2008	12	11	L270911
2011	13	8	L270911
2012	21	7	L270911
2016	38	7	L270916
2007	19	3	L270936
2011	15	6	L270936
2012	13	11	L270936
2013	31	9	L270936
2012	9	10	L270991
2012	20	11	L270992
2011	18	9	L379004
2012	17	7	L379013
2016	27	NA	L379013
2011	19	9	L379047
2011	21	8	L379047
2013	31	11	L379047
2013	30	8	L379047
2012	17	7	L379058
2013	34	9	L379058
2015	22	NA	L379058
2005	25	11	L379060
2013	38	8	L379060
2011	14	9	L379068
2013	35	9	L379068
2003	15	9	L379092
2003	20	9	L379092
2004	17	10	L379092
2011	18	9	L379092
2012	18	8	L379092
2013	36	8	L379092
2017	15	6	L379092
2017	5	10	L379092
2006	25	10	L379098
2011	12	10	L379103
2005	18	10	L379106
2007	19	9	L379106
2011	10	9	L379113
2012	8	8	L379113
2006	25	11	L379135
