Province,City,Farmland,Forest,Grassland,Water,Buildings,Unused,Birds,Trees,Lat,Long,Migrant,Resident,B-water,B-forest,B-grassland,B-shrublad,Population,Report ,GDP (10 thousand yuan)
Shanghai,Shanghai,0.37,0.01,0.01,0.26,0.31,0.04,419,467,31.1667,121.4667,360,60,247,250,176,174,24.24,4670,326798700
Beijing,Beijing,0.23,0.47,0.07,0.02,0.2,0,418,350,39.905,116.3914,361,57,229,243,196,188,21.54,9534,303199787
Chongqing,Chongqing,0.46,0.42,0.09,0.01,0.03,0,414,410,29.55,106.5069,303,111,171,304,143,213,31.02,1153,203631900
Sichuan,Chengdu,0.52,0.25,0.04,0.01,0.17,0,408,288,30.6636,104.0667,303,105,159,305,135,211,16.33,947,153427716
Hubei,Wuhan,0.55,0.08,0.01,0.21,0.15,0.01,384,421,30.5872,114.2881,325,59,212,243,170,173,11.081,3757,148472900
Guangdong,Guangzhou,0.29,0.44,0.01,0.07,0.2,0,381,396,23.1288,113.259,291,90,180,263,153,185,14.9044,4681,228593471
Zhejiang,Hangzhou,0.16,0.7,0.02,0.05,0.07,0,375,514,30.25,120.1675,299,76,199,246,151,166,9.806,1576,135091508
Guangdong,Shenzhen,0.07,0.39,0.01,0.03,0.51,0,339,452,22.535,114.054,262,77,191,220,144,150,13.00266,2393,242219771
Jiangsu,Nanjing,0.55,0.1,0.01,0.09,0.25,0,339,570,32.05,118.7667,282,57,188,217,142,149,8.436,1554,128204000
Zhejiang,Ningbo,0.33,0.45,0.01,0.05,0.15,0,339,191,29.875,121.5492,286,53,196,207,134,144,8.202,311,107454632
Shandong,Qingdao,0.68,0.05,0.04,0.04,0.19,0,333,283,36.1167,120.4,295,38,204,190,147,139,9.3948,473,120015200
Shanxi,Xi'an,0.36,0.3,0.21,0.01,0.12,0,332,627,34.2667,108.9,257,75,158,212,134,157,10.0037,311,83498600
Jiangsu,Yancheng,0.78,0,0.02,0.1,0.1,0,325,51,33.3936,120.1339,292,33,200,187,146,136,7.2,227,54870800
Zhejiang,Wenzhou,0.16,0.73,0.03,0.02,0.07,0,323,85,27.9991,120.6561,256,67,172,205,125,140,9.25,161,60061616
Jiangsu,Nantong,0.81,0,0,0.06,0.12,0,313,84,31.9829,120.8873,277,36,189,192,135,136,7.31,160,84270000
Tianjin,Tianjin,0.51,0.04,0.02,0.15,0.25,0.02,303,125,39.1467,117.2056,266,37,189,165,145,120,15.6,827,188096400
Jiangsu,Suzhou,0.33,0.02,0.01,0.36,0.28,0,302,391,31.304,120.6164,266,36,185,174,132,119,10.722,416,185974700
Henan,Zhengzhou,0.59,0.07,0.05,0.03,0.25,0,282,499,34.7492,113.6605,239,43,164,168,128,126,10.14,929,101433173
Fujian,Quanzhou,0.21,0.53,0.13,0.01,0.11,0,281,143,24.9139,118.5858,223,58,161,163,123,119,8.7,349,84679768
Hunan,Changsha,0.27,0.62,0.01,0.02,0.08,0,279,326,28.196149,112.972679,219,60,136,198,109,135,8.1547,1445,110034116
Hebei,Tangshan,0.55,0.1,0.08,0.09,0.18,0,277,196,39.6292,118.1742,252,25,166,156,133,115,7.9358,196,69549700
Jiangxi,Ganzhou,0.15,0.76,0.05,0.01,0.02,0,265,87,25.8292,114.9336,185,79,111,205,105,144,8.6776,578,28072372
Guangdong,Dongguan,0.11,0.22,0.02,0.11,0.54,0,232,125,23.0475,113.7493,174,58,119,162,107,112,8.3922,310,82785920
Shandong,Foshan,0.32,0.22,0,0.13,0.32,0,224,92,23.0292,113.1056,167,57,97,173,89,123,7.9057,295,99358845
Liaoning,Shenyang,0.66,0.13,0.01,0.03,0.13,0.03,219,101,41.8039,123.4258,189,30,128,134,99,92,8.316,221,62923981
Shandong,Jining,0.66,0.02,0.04,0.12,0.15,0.01,214,127,35.4,116.5667,186,28,130,127,111,101,8.3459,223,49305800
Shandong,Weifang,0.69,0.04,0.05,0.08,0.14,0.01,210,75,36.7167,119.1,186,24,144,113,102,86,9.373,227,61567800
Jinlin,Changchun,0.8,0.06,0.02,0.02,0.09,0.01,195,144,43.9,125.2,167,28,105,132,75,81,7.513,298,71757117
Hebei,Shijiazhuang,0.51,0.14,0.18,0.03,0.14,0,186,208,38.0422,114.5086,151,35,108,109,84,77,10.952,83,60826180
Heilongjiang,Harbin,0.48,0.43,0.01,0.02,0.03,0.02,128,204,45.75,126.6333,110,18,62,96,48,64,10.858,216,63004794
