Observer	BirdID	Year	Age	Ornament
NO	4480	2001	1	35.34999943
NO	4482	2001	2	36.69999949
NO	4483	2001	1	34.23333232
NO	4486	2000	1	34.36666743
NO	16	2002	1	39.23333359
SN	24	2004	3	34.48333295
NO	55	2002	1	37.72500038
SN	104	2003	2	37.93333435
NO	126	2002	1	38.58333333
NO	126	2002	1	38.58333333
SN	129	2003	2	36
NO	4152	2000	0	35.80000051
NO	4158	2001	1	37.5333341
NO	4167	2000	0	36.90000025
NO	4254	2000	0	35.63333257
NO	4250	2000	0	34.23333359
NO	4259	2000	0	33.39999898
NO	4276	2001	1	36.93333308
SN	4274	2003	3	29.76666705
NO	4282	2000	0	36.80000051
NO	4302	2000	0	35.73333359
NO	4309	2000	0	35.93333308
NO	4311	2000	0	34.40000025
SN	457	2004	2	39.36666616
SN	818	2004	1	35.66666667
SN	11	2004	3	NA
SN	1043	2004	1	37.20000076
SN	494	2004	1	37.38333321
SN	663	2004	2	36.45000013
SN	959	2004	1	35.46666718
SN	663	2004	2	35.71666718
SN	421	2004	2	37.58333333
SN	1038	2004	1	35.61666679
SN	1053	2004	1	36.33333333
SN	1259	2005	1	39.96666718
SN	1929	2005	1	37.16666667
SN	1697	2005	1	36.16666667
SN	1053	2005	2	40.59999975
SN	1504	2005	1	32.4666659
SN	1956	2005	1	40.79999924
SN	285	2005	3	39.63333384
SN	1464	2005	1	40.36666616
SN	456	2005	3	39.66666667
SN	591	2005	3	38.50000127
NO	4322	2000	0	35.93333308
NO	144	2001	0	38.89999898
NO	150	2002	1	36.43333308
NO	150	2002	1	36.43333308
NO	161	2002	1	35.69999949
SN	178	2003	2	36.56666565
NO	212	2001	0	34.45000076
NO	4502	2001	1	34.09999847
SN	4421	2004	3	34.93333308
SN	287	2004	2	35.19999981
SN	132	2004	3	34.70000013
SN	765	2004	1	37.23333232
SN	11	2004	3	35.44999981
SN	11	2004	3	34.84999943
SN	823	2004	1	36.95000013
SN	460	2004	2	36.625
