Date_dissected	Family	ID	Sample	Sex	Condition	Larval_diet	Femur_length	Tibia_Length	Tarsus_Length	Wing_Length	HeadWidth	HeadLength	Post-pedicel_Length	Arista_Length	Thorax_Length	Female_Oviscape	Female_posterior_spermathecae1	Female_posterior_spermathecae2	Female_Anterior_Spermatheca_Width	Male_Proximal_surstyli_Length	Male_Distal_surstyli_Length	Male_Apodeme_Length	Male_Aedeagus_Length	Male_Anterior_processus_Length	Male_Processus_Length	Male_testis_area	MaleSperm_bundle_Length	Male_Femur_spine_length
18/10/2018	F1	FS-23	F1_F1_RW1	F	High	Rich	5.316	4.434	3.061	NA	1.57	1.953	0.566	1.196	2.684	1.98	0.071	0.078	0.053	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/10/2018	F1	FS-23	F1_F1_RW2	F	High	Rich	5.327	4.431	3.049	NA	1.575	1.948	0.566	1.189	2.696	1.982	0.073	0.078	0.053	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/10/2018	F1	FS-24	F1_F2_RW1	F	High	Rich	5.28	4.333	2.681	4.072	1.464	2.071	0.597	1.194	2.647	2.061	0.072	0.068	0.072	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/10/2018	F1	FS-24	F1_F2_RW2	F	High	Rich	5.287	4.297	2.642	4.068	1.472	2.073	0.588	1.197	2.635	2.061	0.072	0.068	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/10/2018	F1	FS-25	F1_F3_RW1	F	High	Rich	5.354	4.395	2.96	4.09	1.547	1.999	0.604	1.175	2.772	2.233	0.068	0.08	0.075	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/10/2018	F1	FS-25	F1_F3_RW2	F	High	Rich	5.347	4.349	2.942	4.103	1.553	2.008	0.618	1.186	2.772	2.258	0.07	0.079	0.073	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/10/2018	F1	FS-33	F1_F4_RW1	F	Low	Poor	3.494	3.492	2.947	3.512	1.336	1.576	0.515	1.012	2.194	1.948	0.031	0.02	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA
23/10/2018	F1	FS-33	F1_F4_RW2	F	Low	Poor	3.475	3.489	2.925	3.524	1.339	1.571	0.509	1.02	2.179	1.96	0.028	0.019	0.029	NA	NA	NA	NA	NA	NA	NA	NA	NA
24/10/2018	F1	FS-34	F1_F5_RW1	F	Low	Poor	4.231	3.432	2.497	3.408	1.276	1.561	0.497	1.07	2.165	2.088	0.08	0.092	0.065	NA	NA	NA	NA	NA	NA	NA	NA	NA
24/10/2018	F1	FS-34	F1_F5_RW2	F	Low	Poor	4.231	3.448	2.501	3.428	1.269	1.564	0.475	1.07	2.164	2.103	0.079	0.092	0.067	NA	NA	NA	NA	NA	NA	NA	NA	NA
